KODE,NAMA BAHAN,AIR (g),Energi (Kal),Protein (g),LEMAK,KH (g),SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,GULA
HO007,"Kalio telur, masakan",79.0,193,10.6,12.4,9.7,,1.4,148,246,3.8,540,,,,160,,3600,0.44,,,0,0
JM001,"Kepala susu - krim,
segar",72.5,204,2.6,20.0,4.0,0.0,0.9,97,77,0.1,,,,,252,191,,0.03,0.20,0.1,1,0
JM002,Susu ibu - ASI,88.1,62,1.5,3.2,7.0,0.0,0.2,34,20,0.2,15,41.0,0.01,0.4,,7,,0.01,0.03,0.2,,0
JM003,"Susu kambing, segar",85.9,64,4.3,2.3,6.6,0.0,0.9,98,78,2.7,35,160.0,0.33,0.1,38,0,,0.06,0.45,0.3,1,0
JM004,"Susu kerbau, segar",73.8,160,6.3,12.0,7.1,,0.8,216,101,0.2,82,,,0.3,24,,,0.04,0.07,,1,0
JM005,"Susu kuda, segar",91.0,40,2.0,1.1,5.4,0.0,0.4,,,,,37.4,0.00,0.0,,1,,0.00,0.20,0.2,,0
JM006,"Susu sapi, segar",88.3,61,3.2,3.5,4.3,0.0,0.7,143,60,1.7,36,149.0,0.02,0.3,39,12,,0.03,0.18,0.2,1,0
JO001,Es krim,62.1,210,4.0,12.5,20.6,0.0,0.8,123,99,0.1,78,193.4,0.00,0.7,158,0,,0.04,0.23,0.1,1,0
JO002,Hangop,84.0,65,10.0,1.0,3.5,0.0,1.5,180,190,0.2,126,374.4,0.00,,,22,,0.03,0.43,0.2,,0
JO003,Keju,38.5,326,22.8,20.3,13.1,0.0,5.3,777,338,1.5,1410,82.7,0.03,3.1,227,128,,0.01,0.37,0.1,1,0
JO004,Kwark (Quark),59.0,242,19.0,17.0,3.0,0.0,2.0,300,350,0.5,37,72.7,0.01,0.2,173,0,,0.03,0.38,0.0,,0
JO005,"Susu asam untuk bayi,
bubuk",2.5,418,19.0,9.0,65.5,0.0,4.0,800,600,7.0,188,486.5,0.00,0.0,303,83,,1.00,1.31,0.7,30,0
JO006,Susu bubuk,3.5,513,24.6,30.0,36.2,0.0,5.7,904,694,0.6,380,1330.0,0.02,4.1,476,118,,0.29,1.39,1.6,6,0
JO007,Susu kental manis,25.0,343,8.2,10.0,55.0,0.0,1.8,275,209,0.2,150,320.0,0.02,1.0,155,46,,0.05,0.43,0.4,1,0
JO008,Susu kental tak manis,73.7,138,7.0,7.9,9.9,,1.5,243,195,0.2,140,303.0,,,121,,,0.05,,0.0,1,0
JO009,"Susu skim, bubuk",3.5,359,35.6,1.0,52.0,0.0,7.9,1300,1030,0.6,470,1745.0,0.04,4.1,,10,,0.35,1.05,1.2,7,0
JO010,"Susu skim, segar",90.5,36,3.5,0.1,5.1,,0.8,123,97,0.1,38,,,,0,,,0.04,,,1,0
JO011,"Yoghurt, segar",88.0,52,3.3,2.5,4.0,0.0,2.2,120,90,0.1,40,299.0,0.01,0.6,22,10,,0.04,0.10,0.2,0,0
KM001,"Kelapa setengah tua,
daging, segar",70.0,180,4.0,15.0,10.0,2.4,1.0,8,55,1.3,4,317.7,0.3,2.9,,0,10.0,0.1,0.01,0.1,4,0
KM002,"Kelapa tua, daging,
segar",46.9,359,3.4,34.7,14.0,4.7,1.0,21,98,2.0,3,293.9,0.4,1.1,0,0,,0.1,0.00,0.0,2,0
KM003,Lemak babi (lard),0.0,902,0.0,100.0,0.0,0.0,0.0,0,0,0.0,0,0.0,9.0,0.1,0,0,,0.0,0.00,0.0,0,0
KM004,Lemak babi (bacon),20.0,626,9.1,65.0,1.1,0.0,4.8,13,108,0.8,0,0.0,0.0,0.9,0,0,,0.4,0.00,0.0,0,0
KM005,Lemak ikan,43.3,372,12.0,29.4,14.4,0.0,0.3,20,230,32.7,60,52.0,0.4,1.1,,,,0.5,0.13,,,0
KM006,"Lemak kerbau (lemak
sapi)",5.0,818,1.5,90.0,0.0,0.0,3.5,0,0,0.0,29,25.8,0.0,0.0,0,283,,0.0,0.00,0.7,0,0
KM007,"Minyak hiu, hati",0.0,902,0.0,100.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,21212,0,,0.0,0.00,0.0,0,0
KM008,Minyak ikan,0.0,902,0.0,100.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,24242,0,,0.0,0.00,0.0,0,0
KM009,Minyak kacang tanah,0.0,902,0.0,100.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,,0.0,0.00,0.0,0,0
KM010,Minyak kedelai,0.1,883,0.0,99.9,0.0,0.0,0.0,0,0,0.0,0,0.1,0.0,0.0,0,0,,0.0,0.00,0.0,0,0
KM011,Minyak kelapa,0.0,870,1.0,98.0,0.0,0.0,1.0,0,0,0.0,0,0.0,0.0,0.0,0,0,,0.0,0.00,0.0,0,0
KM012,Minyak kelapa sawit,0.0,884,0.0,100.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,,18181,,0.0,0.00,0.0,0,0
KM013,Minyak wijen,0.1,881,0.2,99.7,0.0,0.0,0.0,10,5,0.1,2,20.0,0.0,0.0,0,0,,0.0,0.07,0.1,0,0
KM014,Minyak zaitun,0.0,884,0.0,100.0,0.0,0.0,0.0,14,0,1.2,7,0.0,0.0,0.0,,0,,0.0,0.00,5.0,,0
KO001,Margarin,15.5,720,0.6,81.0,0.4,0.0,2.5,20,16,0.0,760,25.9,0.0,0.0,606,633,,0.0,0.00,0.0,0,0
KO002,Mentega,16.0,742,0.5,81.6,1.4,0.0,1.9,15,16,1.1,653,103.0,0.0,0.4,1000,155,,0.0,0.10,0.0,,0
KO003,Santan (dengan air),80.0,122,2.0,10.0,7.6,1.4,0.4,25,30,0.1,9,162.4,0.2,0.4,0,,,0.0,0.00,0.5,2,0
KO004,Santan murni,54.9,324,4.2,34.3,5.6,0.0,1.0,14,45,1.9,18,514.1,0.4,0.9,0,0,,0.0,0.00,0.5,2,0
MO001,"Coklat manis, batang",1.4,527,2.0,29.8,62.7,6.5,4.1,63,287,2.8,6,499.5,0.00,0.0,,,30.0,0.03,0.02,0.0,0,0
MO002,"Coklat pahit,batang",2.3,615,5.5,42.6,29.2,10.8,10.1,98,446,4.4,20,708.3,1.70,3.3,,2,60.0,0.05,0.08,1.0,0,0
MO003,"Coklat susu, batang",1.0,565,9.0,35.0,53.6,3.4,1.4,200,200,2.0,100,405.5,0.49,2.3,,54,30.0,0.08,0.45,0.5,0,0
MO004,Coklat bubuk,3.9,311,8.0,4.0,48.9,32.6,15.4,125,715,11.6,,,,,,,30.0,0.12,,0.6,,0
MO005,Gula aren,7.0,368,0.0,0.0,92.0,0.0,1.0,75,35,3.0,15,390.4,0.04,"26.
4",0,0,,0.00,0.01,0.5,0,0
MO006,Gula kelapa,10.0,386,3.0,10.0,76.0,0.0,1.0,76,37,2.6,2,0.0,0.00,0.0,0,0,,0.00,0.34,0.5,0,0
MO007,Gula putih,5.4,394,0.0,0.0,94.0,0.0,0.6,5,1,0.1,1,4.75,0.00,0.0,0,0,,0.00,0.00,0.0,0,0
MO008,"Jam, selai",34.0,239,0.5,0.6,64.5,1.0,0.4,20,20,1.0,30,73.1,0.09,0.0,0,0,,0.01,0.07,0.0,0,0
MO009,Kopi bubuk instant,2.6,129,12.3,0.5,35.0,0.0,9.7,179,383,5.6,72,3256.0,0.14,0.0,,0,0.0,0.00,0.21,"30.
6",0,0
MO010,Madu,20.0,294,0.3,0.0,79.5,0.2,0.2,5,16,0.9,6,26.9,0.04,0.2,0,0,,0.00,0.04,0.1,4,0
MO011,Markisa squash,46.7,217,2.5,1.0,49.6,,0.2,6,83,0.6,14,65.0,0.00,0.1,,23,75.0,0.07,0.02,0.0,14,0
MO012,"Markisa squash, BD",74.4,104,1.2,0.5,23.7,,0.2,1,88,0.5,40,40.0,0.00,0.1,,7,40.0,0.20,0.02,0.0,12,0
MO013,Melase,21.2,276,,0.1,71.0,0.0,7.7,6,83,0.6,14,,0.00,0.3,0,0,,0.04,,,0,0
MO014,Sirup,44.0,213,0.0,0.0,55.0,0.0,1.0,0,0,0.0,3,4.2,,,,0,,0.00,0.00,0.0,,0
MO015,Sirup pirous,43.3,228,0.2,0.4,55.9,0.0,0.2,470,93,29.5,3,4.2,,,,0,0.0,0.00,0.00,0.0,8,0
MO016,Teh hijau daun kering,7.7,300,28.3,4.8,53.6,9.6,5.6,245,415,18.9,60,5873.9,0.50,0.0,,8400,,0.38,1.24,4.6,"23
0",0
MO017,Teh hitam daun kering,8.0,293,24.5,2.8,58.8,8.7,5.9,327,313,24.3,50,5854.8,0.00,0.0,0,2700,,0.07,0.80,7.6,9,0
MO018,"Teh melati daun
kering",8.1,299,24.1,3.5,59.0,9.7,5.3,320,185,31.6,70,5848.4,0.53,0.0,0,8400,,0.07,0.79,7.3,85,0
NM001,"Asam arang coklat,
segar",66.1,130,0.5,1.1,30.9,1.5,1.4,79,113,4.3,13,,0.00,,,745,0,0.01,0.20,0.0,0,0
NM002,"Asam arang merah,
segar",75.9,99,0.8,1.6,20.3,2.8,1.4,69,300,4.6,2,96,0.00,0.1,,529,0,0.01,0.34,1.6,0,0
NM003,"Asan kandis, kering",32.2,261,0.9,1.6,63.3,5.0,2.0,192,657,4.4,26,341,0.40,0.3,,0,0,0.00,0.00,0.4,0,0
NM004,"Asam kandis, segar",81.5,75,0.2,1.1,16.1,3.4,1.1,63,139,2.5,93,93,0.10,0.1,,41,0,0.01,0.00,0.1,0,0
NM005,"Asam masak pohon,
segar",31.4,267,2.8,0.6,62.5,1.2,2.7,74,113,0.6,9,139,0.09,0.1,,9,30,0.34,0.04,0.7,2,0
NM006,"Asam payak, segar",65.1,135,0.8,0.4,32.1,10.0,1.6,60,39,5.7,0,,,,,,0,0.00,,,0,0
NM007,"Bawang merah, segar",88.0,46,1.5,0.3,9.2,1.7,1.0,36,40,0.8,7,179,0.06,0.2,,2,,0.03,0.04,0.2,2,0
NM008,"Bawang putih, segar",71.0,112,4.5,0.2,23.1,0.6,1.8,42,134,1.0,46,666,0.09,0.4,,0,,0.22,0.07,0.3,15,0
NM009,"Boros kunci, segar",90.0,40,1.0,0.8,7.2,1.0,1.0,50,50,2.0,33,480,0.02,0.3,,0,5000,0.08,0.68,1.7,50,0
NM010,"Boros laja (lengkuas),
segar",93.0,26,1.0,0.3,4.7,1.1,1.0,50,50,2.0,24,137,0.07,0.3,,5,5000,0.08,0.06,0.3,50,0
NM011,"Cabai gembor merah,
segar",90.8,38,1.6,0.8,6.3,1.6,0.6,49,41,1.1,7,275,0.12,0.2,,5897,3240,0.21,0.12,0.0,16,0
NM012,"Cabai hijau, segar",93.4,26,0.7,0.3,5.2,2.6,0.4,14,23,0.4,7,151.0,0.08,0.2,,44,260,0.05,0.06,0.4,84,0
NM013,"Cabai merah, kering",10.0,367,15.9,6.2,61.8,26.9,6.1,160,370,2.3,25,181.5,1.20,1.8,,"1095
5",576,0.40,1.36,4.4,50,0
NM014,"Cabai merah, segar",90.9,36,1.0,0.3,7.3,1.4,0.5,29,24,0.5,23,272.4,0.12,0.2,,5833,470,0.05,0.09,3.0,18,0
NM015,"Cabai rawit, segar",71.2,120,4.7,2.4,19.9,15.2,1.8,45,85,2.5,34,706.2,0.29,0.6,,1694,"1105
0",0.24,0.09,1.7,70,0
NM016,"Cengkeh, kering",23.3,330,5.2,8.9,57.4,10.0,5.2,740,100,4.9,282,961.0,0.30,0.0,,265,,"200.
00",0.00,0.0,,0
NM017,"Daun salam,  bubuk",13.1,301,14.2,10.9,49.0,9.4,12.8,86,250,44.1,180,619.0,1.31,0.7,0,5400,,0.10,0.32,5.0,0,0
NM018,"Jahe, segar",55.0,51,1.5,1.0,10.1,12.0,1.2,21,39,1.6,12,441.7,0.48,0.7,,0,9,0.02,0.17,3.3,4,0
NM019,Kemiri,7.0,675,19.0,63.0,8.0,3.0,3.0,80,200,2.0,25,430.7,0.23,0.8,,0,0,0.06,0.06,0.4,0,0
NM020,"Ketumbar, kering",11.2,418,14.1,16.1,54.2,12.3,4.4,630,370,17.9,91,1787.0,0.95,4.6,,75,1570,0.20,0.35,1.8,0,0
NM021,Kluwek,51.0,310,10.0,24.0,13.5,,1.5,40,100,2.0,,,,,,,0,0.15,,,30,0
NM022,"Kunyit, segar",84.9,69,2.0,2.7,9.1,0.6,1.3,24,78,3.3,6,406.7,0.05,0.4,,12,,0.03,0.02,0.4,1,0
NM023,"Merica, kering",12.9,365,11.5,6.8,64.4,1.0,4.4,460,200,16.4,4,99.7,0.89,1.1,,0,,0.20,0.10,2.5,,0
NM024,"Pala, biji, kering",14.3,518,7.5,36.4,40.1,3.5,1.7,120,240,4.6,2,78.7,0.94,2.0,,7,,0.20,0.02,0.5,0,0
,,,,,,,,,,,,,,,,,,,,,,,0
NO001,Balichong,59.9,152,13.2,0.8,22.9,1.5,3.6,380,210,2.9,120,310.0,0.80,1.1,34,0,,0.01,0.08,0.2,,0
NO002,Bekasam,65.5,116,11.9,4.9,6.1,3.5,11.6,704,757,7.5,711,176.0,0.80,1.9,,0,,0.00,0.03,2.1,,0
NO003,Bekasang,67.1,78,11.4,2.0,3.6,0.4,15.9,54,97,2.6,4016,121.0,0.20,4.8,,,,0.15,0.12,0.6,,0
NO004,Cuka,94.5,21,0.1,0.1,5.0,0.0,0.3,7,10,0.5,21,37.8,0.00,0.0,,0,,0.24,0.00,0.7,,0
NO005,Kecap,63.0,71,5.7,1.3,9.0,0.0,21.0,123,96,5.7,1114,,0.04,,0,,,0.00,,,0,0
NO006,Petis ikan,56.0,165,20.0,0.2,20.8,,3.0,37,36,2.8,,,,,,,0,0.01,0.20,0.8,0,0
NO007,Petis udang kering,8.3,345,23.8,1.4,59.3,0.0,7.1,221,397,3.8,"1199
8",462.8,0.75,1.9,,0,232,1.02,0.40,2.2,0,0
NO008,Petis udang pasta,39.0,220,15.0,0.9,38.0,2.3,7.1,37,36,2.8,7981,307.9,0.50,1.3,,0,0,0.01,0.13,1.7,0,0
NO009,Saos tomat,69.5,110,2.0,0.4,24.5,0.9,3.6,12,18,0.8,890,129.6,0.18,0.3,,357,570,0.09,0.06,1.7,11,0
NO010,Tempoya,70.1,110,1.7,1.3,21.9,2.6,5.0,190,45,2.9,597,486.3,,,,71,,0.30,0.04,1.1,0,0
NO011,Terasi,33.8,155,22.3,2.9,9.9,2.7,31.1,3812,726,78.5,1664,821.4,0.99,2.4,,0,0,0.24,0.00,3.3,0,0
NO012,Terasi dobo,58.4,191,33.1,3.6,6.6,1.6,11.5,2250,1130,22.9,650,1260.0,2.90,5.0,,0,,3.74,0.22,2.0,,0
NO013,Terasi merah,40.0,174,30.0,3.5,5.6,2.2,20.4,100,150,3.1,7850,302.8,0.49,1.2,,0,0,0.00,0.12,1.7,0,0
DB032,Granola Dark Chocolate,0.00,393.33,11.67,11.67,63.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67
DB033,Granola Tropical Fruit,0.00,270.00,11.67,8.33,38.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33
DB034,Granola chocolate vanilla,0.00,530.00,10.00,26.67,70.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.33
DB035,Granola Cinnamon & Raisin,0.00,375.00,11.67,8.33,60.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67
DB036,Granola Honey & Mango,0.00,370.00,11.67,8.33,63.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67
DB037,Granola Coconut Banana,0.00,430.00,6.67,20.00,56.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.67
DB038,Roti tawar putih,0.00,265.63,8.84,3.34,49.41,2.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.66
DB039,Roti tawar gandum,0.00,253.13,12.44,3.50,42.72,5.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.34
DB040,Roti tawar,0.00,290.00,9.00,4.00,54.50,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20
DB041,Nutella,0.00,540.54,5.41,32.43,62.16,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.76
DB042,Corn flakes nestle,0.00,366.67,6.67,1.67,80.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
DB043,Roti gandum,0.00,306.67,16.27,4.07,51.17,7.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.77
DB044,Skippy chunky,0.00,656.25,21.88,53.13,21.88,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38
DB045,Instant Oatmeal Quaker,0.00,400.00,11.43,10.00,68.57,8.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DB046,Nutella,0.00,533.33,6.67,30.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.33
DB047,Extra Crunchy JIF,0.00,593.75,21.88,50.00,25.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38
DB048,Strawberry Smuckers,0.00,250.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
DB049,Ovomaltine,0.00,545.00,4.00,32.00,59.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.50
DB050,Skippy chunky,0.00,656.25,21.88,53.13,21.88,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38
DB051,Blueberry Smuckers,0.00,250.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
ST001,Susu Murni,0.00,61.00,3.10,3.46,4.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.46
ST002,Keju cheddar,0.00,410.00,24.25,33.82,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27
ST003,Keju parmesan,0.00,451.00,41.60,29.99,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85
ST004,Telur ayam,0.00,144.00,12.56,9.50,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36
ST005,Keju mozarella,0.00,280.00,27.50,17.10,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23
ST006,Mentega,0.00,717.00,0.85,81.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
ST007,Cheddar KRAFT,0.00,350.00,20.00,25.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ST008,Mozzarella cheese GREENFIELDS,0.00,300.00,23.33,20.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ST009,Cheddar MEG,0.00,300.00,20.00,23.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ST010,Quick melt KRAFT,0.00,333.33,16.67,23.33,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33
ST011,Ricotta cheese GREENFIELDS,0.00,220.00,8.00,18.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
ST012,Cheddar DIAMOND,0.00,233.33,16.67,6.67,26.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ST013,Skimmed milk GREENFIELDS,0.00,32.00,4.00,0.00,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20
ST014,Lowfat GREENFIELDS,0.00,44.00,3.60,1.20,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.80
ST015,Full cream GREENFIELDS,0.00,64.00,3.20,3.60,4.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80
ST016,Full cream ULTRAMILK,0.00,60.00,3.20,3.20,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ST017,Full cream INDOMILK,0.00,60.00,3.20,3.20,4.40,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ST018,Full cream FRISIAN FLAG,0.00,62.22,3.11,3.11,5.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.89
ST019,Plain low fat ULTRAMILK,0.00,48.00,3.60,1.20,5.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ST020,Plain low fat INDOMILK,0.00,48.00,2.80,1.40,6.40,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ST021,Plain low fat FRISIAN FLAG,0.00,53.33,3.11,1.33,7.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33
ST022,Chocolate L-MEN,0.00,45.00,4.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50
ST023,Cokelat ENTRASOL,0.00,70.00,2.50,1.25,12.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50
ST024,Cokelat MILO,0.00,63.16,1.58,2.11,8.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.89
ST025,Cokelat WRP ON THE GO,0.00,75.00,3.50,1.50,12.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00
ST026,Vanila malt DIABETASOL,0.00,85.00,4.00,2.00,13.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ST027,Cokelat ANLENE,0.00,77.14,4.00,1.71,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.43
ST028,High fiber milk chocolate TROPICANA SLIM,0.00,377.78,22.22,0.00,68.89,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.67
ST029,Chocolate SLIM & FIT,0.00,370.37,27.78,5.56,55.56,9.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22
ST030,Cokelat WRP LOSE WEIGHT,0.00,440.00,28.00,12.00,54.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
ST031,High fiber milk vanila TROPICANA SLIM,0.00,375.00,25.00,2.50,62.50,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
ST032,Vanila SLIM & FIT,0.00,370.37,27.78,4.63,55.56,9.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.07
ST033,Strawberry WRP LOSE WEIGHT,0.00,440.00,28.00,12.00,50.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00
ST034,Impact whey protein MYPROTEIN,0.00,420.00,80.00,7.20,12.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40
ST035,Gold standard 100% whey ON,0.00,394.74,78.95,3.29,9.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.29
ST036,Combat 100% whey MUSCLEPHARM,0.00,393.94,75.76,4.55,9.09,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.03
ST037,Syntha-6 BSN,0.00,423.73,46.61,12.71,29.66,10.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.24
ST038,Elite 100% whey DYMATIZE,0.00,388.89,69.44,5.56,8.33,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56
ST039,Nicro-tech MUSCLETECH,0.00,363.64,68.18,5.68,9.09,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55
ST040,Yakult,0.00,76.92,1.54,0.00,16.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38
ST041,Original CIMORY YOGURT DRINK,0.00,72.00,2.40,0.80,12.80,10.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ST042,Original KIN BULGARIAN YOGURT,0.00,85.00,2.50,1.75,14.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00
